text,label
suffering,sadness
satan,neutral
betrayed,anger
familiarity,neutral
designing,neutral
vulnerability,sadness
alien,neutral
ruin,fear
suppression,neutral
knowledge,neutral
sustainability,neutral
wondering,neutral
secrecy,neutral
hottest,neutral
fading,neutral
monsters,neutral
infrared,neutral
prejudice,anger
fever,neutral
happiness,happy
hopeless,sadness
corporations,neutral
angry,anger
banana,neutral
bandages,neutral
anxiety,worry
olympus,neutral
admiration,love
innocence,love
realization,neutral
relief,love
weaving,neutral
gravity,neutral
distance,neutral
scarred,sadness
slaughter,neutral
frowning,worry
skill,neutral
mystery,neutral
rot,neutral
vernacular,neutral
mississippi,neutral
bodyguards,neutral
purity,neutral
dominance,neutral
blackened,neutral
instinct,neutral
tension,fear
ruined,fear
truth,happy
fathers,neutral
proud,happy
angels,neutral
frenzy,anger
caring,love
sorting,neutral
playboy,neutral
seduction,love
atrocities,anger
powerful,happy
virus,neutral
testosterone,neutral
robbers,fear
studying,neutral
bare,neutral
nervous,fear
terrorists,fear
tenderness,love
philosophers,neutral
stolen,sadness
enjoyment,happy
protection,neutral
scandal,anger
beasts,neutral
hysteria,anger
faces,neutral
greed,anger
feared,fear
avenge,anger
amelie,neutral
abused,fear
moonlight,neutral
ultrasound,neutral
outlaws,neutral
ignorance,anger
feelings,neutral
scissors,neutral
mutation,neutral
shapes,neutral
werewolves,neutral
intellect,neutral
bastion,neutral
toxicity,neutral
espionage,neutral
gossip,neutral
poison,neutral
alcoholism,neutral
apprehension,neutral
protecting,neutral
smuggling,neutral
bitterness,neutral
abraham,neutral
civilization,neutral
soothing,happy
tailor,neutral
lesions,sadness
crossbow,neutral
abnormal,worry
tibetan,neutral
risking,worry
prostitution,neutral
lucifer,neutral
hardened,neutral
simplicity,neutral
protect,neutral
drowning,neutral
plague,fear
laughter,happy
piracy,neutral
illusion,neutral
perfection,happy
controller,neutral
amnesia,neutral
prostitute,neutral
pretending,neutral
wonder,neutral
surprise,surprise
claws,neutral
numb,boredom
plain,neutral
depth,neutral
mutations,neutral
honesty,happy
shame,sadness
murderous,anger
lethal,fear
vomiting,sadness
nighttime,neutral
concrete,neutral
kali,neutral
armies,neutral
astonishment,surprise
hugh,neutral
overseeing,neutral
ambition,happy
vengeance,anger
thirsty,neutral
rubble,neutral
murdering,fear
disorder,worry
smoke,neutral
talking,neutral
measuring,neutral
defeat,sadness
searching,neutral
drinking,neutral
globalization,neutral
unspoken,neutral
surgeons,neutral
trust,love
apocalypse,neutral
dangerous,fear
intuition,neutral
imaging,neutral
curls,neutral
wanting,neutral
imprisonment,fear
gangster,neutral
panting,neutral
intense,neutral
freezing,neutral
cold,neutral
monitoring,neutral
confuse,worry
abbey,neutral
calm,neutral
outrage,anger
alejandro,neutral
tormented,fear
drying,neutral
ravens,neutral
guardians,neutral
tremor,surprise
feral,neutral
intent,neutral
stripping,neutral
heating,neutral
inspect,neutral
fracture,neutral
gears,neutral
paralysis,neutral
destroy,fear
scars,sadness
horrified,fear
wandering,neutral
washing,neutral
timing,neutral
monitor,neutral
prohibition,neutral
pale,neutral
royalty,neutral
beatles,neutral
humanity,neutral
surveying,neutral
aristocracy,neutral
brains,neutral
regeneration,neutral
disbelief,worry
raped,sadness
stronger,happy
mute,neutral
rigged,neutral
garlic,neutral
obsessed,love
hurt,fear
exhausted,neutral
seduce,love
chicken,neutral
killers,neutral
genocide,fear
brutally,fear
tensed,fear
utopia,neutral
malibu,neutral
helping,happy
punish,neutral
damage,fear
transformation,neutral
keith,neutral
affection,love
strawberry,neutral
sadness,sadness
approval,happy
identifying,neutral
deaths,neutral
grape,neutral
thinking,neutral
infirmary,neutral
gesturing,neutral
nightmares,fear
wounds,neutral
nerves,neutral
guarding,love
weasel,neutral
blackness,neutral
treason,neutral
friendship,neutral
spikes,neutral
greeks,neutral
helene,neutral
kidnap,fear
strong,happy
cannabis,neutral
garbage,neutral
pleading,worry
gambling,neutral
monster,neutral
imagining,neutral
avoiding,neutral
disability,neutral
worn,neutral
humiliating,anger
counseling,neutral
ignorant,neutral
apollo,neutral
consuming,neutral
guarded,neutral
sickness,neutral
silicon,neutral
faith,love
judas,neutral
scared,fear
struggling,worry
kidnapping,fear
controls,neutral
turks,neutral
jogging,neutral
restraint,neutral
cholera,neutral
preventing,neutral
whip,neutral
temptation,love
robotic,neutral
burning,neutral
gorgeous,happy
restraints,neutral
joy,happy
famine,sadness
cassandra,neutral
nobility,neutral
revolution,neutral
scanning,neutral
imperialism,neutral
risk,fear
trusting,love
infection,sadness
exile,sadness
gravitational,neutral
camouflage,neutral
hated,anger
boulder,neutral
parchment,neutral
prey,neutral
tattooed,neutral
muscles,neutral
healed,happy
hunted,neutral
gina,neutral
staring,neutral
someone,neutral
erich,neutral
stubborn,neutral
grease,neutral
stress,neutral
weighing,neutral
suppress,sadness
shouting,anger
jungle,neutral
preacher,neutral
humanoid,neutral
dolls,neutral
slapped,anger
pickup,neutral
choosing,neutral
linda,neutral
doom,fear
revolutionaries,neutral
creature,neutral
controlling,neutral
conspiracy,neutral
cain,neutral
macintosh,neutral
dislike,anger
crazy,anger
spitting,neutral
securing,neutral
syrian,neutral
practicing,neutral
nobody,neutral
imprisoned,fear
powerless,sadness
weakness,sadness
kidnapped,fear
bigger,neutral
anxious,worry
dark,neutral
fascinated,love
weathered,neutral
want,neutral
wolverine,neutral
sensitivity,neutral
baskets,neutral
continents,neutral
aware,neutral
mortality,sadness
faded,neutral
harvesting,happy
soho,neutral
graveyard,neutral
cheese,neutral
fist,neutral
psyche,neutral
andreas,neutral
frankenstein,neutral
lookout,neutral
amor,love
capturing,neutral
torment,sadness
violently,neutral
suitcase,neutral
boredom,boredom
orgasm,happy
coconut,neutral
kindness,happy
scanned,neutral
cooking,neutral
mentally,neutral
pity,sadness
lonely,sadness
repairing,neutral
grounded,neutral
verbal,neutral
methane,neutral
collateral,neutral
tragedy,sadness
scope,neutral
pleasure,happy
prepare,neutral
monitored,neutral
ego,neutral
binds,neutral
moisture,neutral
arthritis,neutral
fiery,neutral
cheek,neutral
constellation,neutral
mutiny,neutral
morality,neutral
shock,surprise
detectives,neutral
blond,neutral
simulation,neutral
insult,anger
polymer,neutral
jagger,neutral
tina,neutral
tasting,neutral
malcolm,neutral
running,neutral
rectangular,neutral
addresses,neutral
jaws,neutral
alessandro,neutral
begging,sadness
insane,anger
tennessee,neutral
mutants,neutral
ollie,neutral
logos,neutral
alcohol,neutral
psychiatric,neutral
sniper,neutral
armor,neutral
sabine,neutral
hercules,neutral
chemotherapy,neutral
imitation,neutral
planning,neutral
naked,neutral
ipod,neutral
patrolling,neutral
devastating,fear
exposure,neutral
vegetarian,neutral
heartbreak,sadness
hunt,neutral
ruining,fear
rifle,neutral
accusations,anger
focusing,neutral
selling,neutral
gaping,neutral
temperature,neutral
doing,neutral
marianne,neutral
drops,neutral
bully,anger
tornado,neutral
cinematic,neutral
denying,neutral
hunting,neutral
kitchens,neutral
adrenaline,neutral
concentrating,neutral
relocation,neutral
tales,neutral
conversation,neutral
icao,neutral
eyebrows,neutral
something,neutral
terrorism,fear
shirts,neutral
shark,neutral
wet,neutral
changing,neutral
speculation,neutral
poker,neutral
confused,worry
franco,neutral
accepting,happy
triumph,happy
crumbling,neutral
fixing,neutral
deserted,sadness
looting,anger
sharing,neutral
aeronautical,neutral
feeling,neutral
prestigious,happy
witches,neutral
denise,neutral
whisper,neutral
bracelet,neutral
solid,neutral
mercedes,neutral
unleashed,neutral
titanic,neutral
mixture,neutral
stomach,neutral
enraged,anger
stunned,surprise
worried,worry
robbery,fear
aggression,fear
experimenting,neutral
beast,neutral
donnie,neutral
dungeons,neutral
gasping,neutral
dynamite,neutral
acronym,neutral
isolation,neutral
taller,neutral
prevent,neutral
fallen,neutral
fbi,neutral
mercenaries,neutral
maids,neutral
strengthening,neutral
trauma,sadness
mistake,neutral
butcher,neutral
kyle,neutral
meaningless,boredom
donkey,neutral
classmates,neutral
massacre,fear
charcoal,neutral
portland,neutral
retribution,fear
superhero,neutral
egyptians,neutral
froze,neutral
grading,neutral
glimpse,neutral
astonished,surprise
chair,neutral
mercenary,neutral
erased,neutral
belief,love
underground,neutral
drowned,sadness
warm,happy
haired,neutral
deny,neutral
bandage,neutral
laird,neutral
veterinary,neutral
legends,neutral
titans,neutral
curiosity,neutral
retaliation,anger
uncertain,neutral
quiet,neutral
physicians,neutral
holding,neutral
oblivion,neutral
unicorn,neutral
forearm,neutral
bunker,neutral
aging,neutral
vines,neutral
leaping,neutral
hebrew,neutral
corrupted,sadness
seen,neutral
behavior,neutral
maddy,neutral
tyrone,neutral
forbidden,neutral
skyscraper,neutral
chinatown,neutral
older,neutral
merchants,neutral
calhoun,neutral
champagne,neutral
skyline,neutral
packing,neutral
lyle,neutral
primate,neutral
dying,sadness
cupping,neutral
banned,neutral
between,neutral
tracing,neutral
address,neutral
dungeon,neutral
disappointed,sadness
visible,neutral
kia,neutral
conqueror,neutral
ruthless,fear
ghosts,neutral
dried,neutral
azerbaijani,neutral
psycho,neutral
jaw,neutral
looted,fear
snowy,neutral
torn,fear
horrible,fear
agitation,neutral
cancers,neutral
nikita,neutral
werewolf,neutral
standing,neutral
stillness,neutral
collarbone,neutral
interest,neutral
experimentation,neutral
dashboard,neutral
confirmation,neutral
bombings,neutral
eve,neutral
stereotypes,neutral
saving,neutral
decorate,neutral
watching,neutral
overwhelming,neutral
wind,neutral
raoul,neutral
spike,neutral
taste,neutral
carp,neutral
gaelic,neutral
temper,anger
dismay,sadness
distraction,worry
elevators,neutral
enlightenment,neutral
sad,sadness
zeus,neutral
gypsy,neutral
sanity,neutral
conflict,anger
modernization,neutral
shape,neutral
ceilings,neutral
cheating,anger
epic,neutral
rewards,happy
skin,neutral
automation,neutral
mountainous,neutral
muted,neutral
creole,neutral
systemic,neutral
banking,neutral
protective,neutral
this,neutral
grapes,neutral
exotic,neutral
andhra,neutral
macy,neutral
civilized,neutral
irrational,neutral
freeze,neutral
diffusion,neutral
mouse,neutral
hide,neutral
tense,fear
palace,neutral
waldo,neutral
thief,neutral
managing,neutral
gesture,neutral
bellevue,neutral
aerospace,neutral
katrina,neutral
kissing,love
bunny,neutral
rhythm,neutral
assassinate,fear
pretend,neutral
need,neutral
mourning,neutral
judgment,neutral
hugo,neutral
dmitri,neutral
vague,neutral
explosion,fear
burned,fear
influenza,neutral
leopard,neutral
chunks,neutral
statues,neutral
agitated,happy
blocked,neutral
suspended,neutral
sensitive,neutral
epidemic,neutral
devastated,sadness
blizzard,sadness
disgusted,anger
success,happy
speeding,neutral
surprised,surprise
terrorist,fear
sunshine,happy
onion,neutral
barefoot,neutral
paralyzed,neutral
savage,fear
coordination,neutral
chickens,neutral
uncomfortable,sadness
fountains,neutral
sunrise,neutral
luna,neutral
excited,happy
harder,sadness
prepared,neutral
kenya,neutral
distract,neutral
biomedical,neutral
gorilla,neutral
oslo,neutral
evelyn,neutral
gunpowder,neutral
nowhere,neutral
proliferation,neutral
crashes,sadness
prosperity,happy
fierce,fear
jasper,neutral
paradise,happy
fiona,neutral
romance,love
domes,neutral
hermes,neutral
fielding,neutral
florence,neutral
condemn,anger
primitive,neutral
fleeing,fear
fda,neutral
kata,neutral
honest,happy
invincible,happy
removing,neutral
hacking,neutral
boiling,neutral
veins,neutral
yelling,anger
electromagnetic,neutral
hawthorne,neutral
kill,fear
aleppo,neutral
sheila,neutral
alex,neutral
depths,neutral
crane,neutral
clinical,neutral
popcorn,neutral
toulouse,neutral
rescue,happy
punishment,anger
suffer,sadness
enslaved,fear
despised,anger
standardized,neutral
repulsed,sadness
respect,happy
baggage,neutral
necessity,neutral
inspecting,neutral
backlash,neutral
asylum,neutral
sensors,neutral
bleeding,sadness
modeling,neutral
resemblance,neutral
diplomacy,neutral
advertising,neutral
ripped,neutral
resolving,neutral
gems,neutral
marcia,neutral
forged,neutral
flames,neutral
alphabet,neutral
picking,neutral
logic,neutral
factories,neutral
attachment,love
jordanian,neutral
obligation,neutral
cyber,neutral
aching,sadness
hiding,neutral
captive,fear
captivity,fear
characterization,neutral
near,neutral
easter,neutral
cypress,neutral
unsure,worry
outline,neutral
volcanoes,neutral
interpreting,neutral
deeds,neutral
navigate,neutral
cruel,fear
migrate,neutral
loading,neutral
lion,neutral
realizing,neutral
hotter,neutral
safety,neutral
monetary,neutral
fresno,neutral
watch,neutral
warfare,neutral
fusion,neutral
leather,neutral
exploring,neutral
futile,sadness
ceiling,neutral
tracker,neutral
joey,neutral
coward,anger
clones,neutral
sniffing,neutral
thickness,neutral
amazement,surprise
exposing,neutral
frustrated,sadness
mab,neutral
kristen,neutral
pasta,neutral
daylight,neutral
sign,neutral
strongest,happy
praying,neutral
dragons,neutral
roaming,neutral
overlooking,neutral
rejected,sadness
aristotle,neutral
dignity,happy
destroys,fear
shaking,neutral
hygiene,neutral
programmers,neutral
switching,neutral
gaze,neutral
sensor,neutral
killer,fear
frantically,anger
catering,neutral
ditch,neutral
connect,neutral
purpose,neutral
affect,neutral
careful,worry
blanca,neutral
trinity,neutral
multinational,neutral
sydney,neutral
petrol,neutral
rehearsal,neutral
oppression,fear
knuckles,neutral
zen,neutral
smartphone,neutral
investing,neutral
besieged,worry
confusing,worry
prophecy,neutral
signs,neutral
walking,neutral
shane,happy
cia,neutral
marvel,surprise
improvement,happy
exposed,neutral
murderers,fear
valentine,love
facing,neutral
civilizations,neutral
plastered,neutral
battered,fear
decorated,happy
swamp,neutral
nadia,neutral
broken,sadness
smoking,neutral
desires,love
pointing,neutral
knife,neutral
angrily,anger
shredded,neutral
corruption,anger
lavender,neutral
exploding,fear
bosnian,neutral
melting,neutral
pod,neutral
reduce,neutral
layout,neutral
boyfriend,neutral
peace,happy
sells,neutral
ancient,neutral
ache,sadness
forensic,neutral
haitian,neutral
kills,fear
unrest,neutral
stake,neutral
purple,neutral
itunes,neutral
welding,neutral
aroused,neutral
jealous,anger
stalked,neutral
flickering,neutral
protocol,neutral
communicating,neutral
rhone,neutral
carnival,happy
wizard,neutral
nomadic,neutral
davey,neutral
fled,neutral
absorption,neutral
desperately,surprise
amadeus,neutral
widen,neutral
forgiveness,love
jade,neutral
ticking,neutral
nepali,neutral
architectural,neutral
venice,neutral
inspected,neutral
plasma,neutral
comparative,neutral
issuing,neutral
zeke,neutral
paralympic,neutral
therapy,neutral
brushing,neutral
strangers,neutral
corn,neutral
reconstruction,neutral
sapphire,neutral
wisconsin,neutral
inherited,neutral
arturo,neutral
hurricanes,neutral
extreme,neutral
siberia,neutral
handcuffs,neutral
futures,neutral
brutal,fear
symphonic,neutral
bind,neutral
mortar,neutral
limits,neutral
borders,neutral
bosnia,neutral
deepest,neutral
sack,sadness
cheat,anger
leonid,neutral
baking,neutral
command,neutral
eating,neutral
connection,neutral
sealed,neutral
caressed,love
inspection,neutral
neutrality,neutral
oversee,neutral
riots,anger
claire,neutral
responsibility,neutral
punished,anger
vivid,neutral
chairs,neutral
domination,neutral
pablo,neutral
etched,neutral
indonesia,neutral
partridge,neutral
hear,neutral
likeness,neutral
locking,neutral
tempest,neutral
sergei,neutral
handsome,happy
vacuum,neutral
wanderers,neutral
slade,neutral
venetian,neutral
karma,neutral
sichuan,neutral
targeting,neutral
demolition,neutral
violent,anger
genetic,neutral
abs,neutral
identify,neutral
brian,neutral
jihad,neutral
belle,happy
theodor,neutral
tainted,sadness
serious,neutral
tortured,fear
nevada,neutral
theoretical,neutral
academia,neutral
alexander,neutral
crime,anger
face,neutral
tumors,sadness
malik,neutral
ready,neutral
renegade,anger
confiscated,neutral
noir,neutral
edna,neutral
bombs,fear
martinique,neutral
supportive,happy
acidic,neutral
sell,neutral
terrible,anger
compelling,happy
affinity,happy
trouble,worry
barack,neutral
redhead,neutral
inspiration,happy
harm,fear
activation,neutral
innocent,happy
sacrifice,sadness
reds,neutral
observing,neutral
pleas,neutral
cure,happy
weaker,sadness
cognitive,neutral
chrome,neutral
migrants,neutral
clone,neutral
lou,neutral
corpses,sadness
nickname,happy
storms,neutral
incompatible,neutral
artifact,happy
scrutiny,neutral
cleaning,neutral
balkans,neutral
flashing,neutral
infinitely,neutral
marge,neutral
urgency,fear
collision,neutral
ict,neutral
study,neutral
crashed,fear
valet,neutral
cadillac,neutral
chalk,neutral
vinegar,anger
bearded,neutral
mule,neutral
uniting,happy
vinnie,neutral
astronaut,neutral
mercury,neutral
pediatric,neutral
denny,neutral
carl,neutral
imperfect,sadness
bear,neutral
max,neutral
cinderella,neutral
sino,neutral
icc,neutral
outfits,neutral
syndication,neutral
longevity,neutral
brute,anger
risks,fear
trembling,fear
tides,neutral
emerald,neutral
intrigued,surprise
horrors,fear
agreement,neutral
tangible,neutral
certification,neutral
tallest,neutral
defects,sadness
adventure,neutral
misunderstood,sadness
stare,neutral
patterns,neutral
concentration,neutral
brewing,neutral
coffee,neutral
greta,neutral
gravel,neutral
blinded,sadness
waste,anger
strengthen,happy
killings,fear
settler,neutral
familiar,neutral
peasant,neutral
heal,happy
pedestrians,neutral
servers,neutral
fragmented,sadness
irish,neutral
invisible,neutral
laws,neutral
sight,neutral
ordnance,neutral
mortimer,neutral
housing,neutral
artemis,neutral
quantitative,neutral
complicated,neutral
hepatitis,neutral
direction,neutral
soaking,neutral
zev,neutral
shout,neutral
dresser,neutral
flesh,neutral
carved,neutral
extinction,sadness
lashes,neutral
computational,neutral
simulator,neutral
honeymoon,happy
bodyguard,neutral
adapting,neutral
bellamy,neutral
amour,love
notoriety,anger
armistice,neutral
messiah,neutral
capitalist,neutral
witch,neutral
bricks,neutral
looking,neutral
negotiating,neutral
maddie,neutral
pan,neutral
scots,neutral
motorcycle,neutral
wardrobe,neutral
serum,neutral
sensations,neutral
graduation,neutral
telescopes,neutral
illegally,anger
ares,neutral
curtis,neutral
beef,neutral
money,neutral
onions,neutral
fundraising,neutral
commitment,neutral
solemnly,happy
communication,neutral
lebanese,neutral
parisian,neutral
scarlett,neutral
georgian,neutral
demanding,neutral
spending,neutral
foolish,anger
disregard,anger
bmw,neutral
egyptian,neutral
mankind,neutral
vaccines,neutral
bergen,neutral
directorial,neutral
vast,neutral
viral,neutral
dod,neutral
compass,neutral
firefighters,neutral
comprehension,neutral
brandy,neutral
ramon,neutral
landslide,neutral
iron,neutral
mono,neutral
extremes,surprise
triggers,neutral
wichita,neutral
hoax,anger
shadows,neutral
braid,neutral
researching,neutral
steering,neutral
evacuation,neutral
pomerania,neutral
sorcerer,neutral
antoine,neutral
sexual,neutral
spread,neutral
rats,neutral
desperate,fear
hospitality,happy
preservation,neutral
chained,neutral
scary,fear
blitz,neutral
copying,neutral
fragmentation,neutral
throwing,neutral
ioc,neutral
potatoes,neutral
azure,neutral
painful,sadness
longest,neutral
careless,anger
illustration,neutral
austin,neutral
silenced,neutral
screwing,neutral
accidents,neutral
mapped,neutral
dharma,neutral
transylvania,neutral
precision,happy
choking,fear
branded,neutral
crimes,anger
africans,neutral
walls,neutral
spence,neutral
troubled,worry
ultraviolet,neutral
closeness,love
phoenix,neutral
manages,neutral
prospect,neutral
sacrificed,sadness
mice,neutral
whenever,neutral
courtyard,neutral
chance,neutral
istanbul,neutral
struggle,anger
entropy,neutral
rebuilding,neutral
louise,neutral
refuse,anger
legion,neutral
logistics,neutral
delivering,neutral
anxiously,worry
fiercely,sadness
portraits,neutral
pony,neutral
slavic,neutral
embarrassed,sadness
wave,neutral
starving,sadness
armand,neutral
maternity,neutral
plaster,neutral
looming,worry
cranes,neutral
plan,neutral
surgical,neutral
reindeer,neutral
surf,neutral
emotional,neutral
kent,neutral
darkening,neutral
drawings,neutral
assess,neutral
designed,neutral
temperance,neutral
aiming,neutral
soldier,neutral
fires,neutral
dumb,neutral
spies,neutral
criminals,anger
confessions,neutral
xml,neutral
growing,neutral
examining,neutral
promises,neutral
levi,neutral
rumors,anger
timer,neutral
policing,neutral
hammer,neutral
inventor,neutral
shards,neutral
computers,neutral
enclosure,neutral
oro,neutral
gardening,neutral
psychiatry,neutral
feels,neutral
endured,neutral
marlene,neutral
footprints,neutral
negotiation,neutral
ethical,happy
harness,neutral
tailored,neutral
stories,neutral
doctrine,neutral
detection,neutral
console,love
protected,happy
she,neutral
intimacy,love
repression,sadness
overwhelmed,worry
glue,neutral
duty,neutral
ambient,neutral
empirical,neutral
mustache,neutral
orphan,neutral
ana,neutral
homeland,neutral
glare,neutral
wars,neutral
sis,neutral
riches,happy
threshold,neutral
kicking,neutral
hostility,anger
where,neutral
giovanni,neutral
fingers,neutral
growth,neutral
intimidating,fear
phone,neutral
urge,worry
cured,happy
turbulent,neutral
debt,neutral
aggravated,neutral
rum,neutral
controllers,neutral
sanskrit,neutral
maturity,neutral
facial,neutral
fortification,neutral
nobles,neutral
clawed,neutral
griffin,neutral
stranded,neutral
involuntary,anger
screens,neutral
sins,anger
complexity,neutral
aim,neutral
framed,anger
swallowing,neutral
assassin,neutral
kara,neutral
partnerships,neutral
georgie,neutral
odin,neutral
rushing,neutral
traitor,anger
iranian,neutral
murdered,fear
darkest,neutral
substance,neutral
tossing,anger
tyre,neutral
biceps,neutral
pharaoh,neutral
faulkner,neutral
diversity,neutral
stalking,neutral
utterly,neutral
volvo,neutral
siege,neutral
emotions,neutral
inquisition,neutral
obscure,neutral
macon,neutral
drought,neutral
magnus,neutral
water,neutral
severity,neutral
scientist,neutral
blinding,sadness
ritter,neutral
successes,happy
ace,happy
innate,neutral
privacy,neutral
galveston,neutral
nazis,neutral
migration,neutral
combining,neutral
contaminated,anger
evacuated,neutral
wiping,neutral
rumbling,neutral
truck,neutral
rabbits,neutral
consulting,neutral
darker,neutral
spend,neutral
monarchy,neutral
handling,neutral
bleak,sadness
barons,neutral
daring,happy
aesthetic,happy
blinking,neutral
muscular,neutral
whiskey,neutral
jeffrey,neutral
ruler,neutral
avoidance,neutral
crocodile,neutral
logo,neutral
tomato,neutral
exiled,sadness
monitors,neutral
marian,neutral
moods,neutral
corsica,neutral
barbecue,neutral
clenching,neutral
sprawled,neutral
segregation,neutral
initial,neutral
patiently,neutral
vanity,anger
basic,neutral
cas,neutral
colombian,neutral
shipped,neutral
daytime,neutral
controlled,neutral
rogue,anger
doc,neutral
hangul,neutral
accountants,neutral
ca,neutral
sisters,neutral
bandits,neutral
artificial,neutral
pathetic,sadness
browser,neutral
flexibility,happy
irresistible,happy
surgeon,neutral
smallpox,neutral
distant,neutral
depressed,worry
neon,neutral
killed,fear
creativity,happy
fright,surprise
appalled,surprise
horizon,neutral
hades,neutral
discarded,sadness
fate,neutral
gentle,happy
syriac,neutral
connectivity,neutral
malice,anger
saudi,neutral
rebuilt,neutral
elderly,neutral
camille,neutral
lao,neutral
spared,happy
localized,neutral
hasty,worry
fairy,happy
mistakes,sadness
prominence,happy
voiced,neutral
tully,neutral
testing,neutral
vogel,neutral
stump,neutral
munitions,neutral
inhuman,anger
syndicate,neutral
cloth,neutral
surveyed,neutral
chad,neutral
edmond,neutral
organic,neutral
tel,neutral
streaming,neutral
redesigned,neutral
hacked,anger
duplicate,neutral
chimneys,neutral
butter,neutral
howie,neutral
cowboy,neutral
discussing,neutral
enrico,neutral
wolves,neutral
dominican,neutral
nuns,neutral
armada,neutral
focused,neutral
demons,neutral
mirage,neutral
sudanese,neutral
cascade,neutral
fairness,happy
openly,neutral
waving,neutral
edible,neutral
inca,neutral
convince,neutral
hue,neutral
ak,neutral
arabs,neutral
enjoying,happy
indifferent,boredom
flavor,neutral
shocked,surprise
eugene,neutral
poultry,neutral
mathias,neutral
paisley,neutral
reformation,neutral
rescues,happy
intelligent,happy
keller,neutral
cocoa,neutral
enigma,neutral
repaired,happy
minerva,neutral
whimper,sadness
oblivious,neutral
ripping,neutral
parked,neutral
accent,neutral
ipad,neutral
mack,neutral
brows,neutral
moi,neutral
neurons,neutral
airplanes,neutral
wooden,neutral
frankie,neutral
tell,neutral
serge,neutral
conscription,neutral
dinosaur,neutral
assimilation,neutral
enchanted,love
quilt,neutral
astronauts,neutral
constantine,neutral
vibrations,neutral
akron,neutral
possibility,neutral
racism,neutral
mechanics,neutral
murders,fear
zenith,neutral
neuroscience,neutral
senses,neutral
pacing,neutral
angelo,neutral
gabrielle,neutral
censorship,neutral
oral,neutral
filtering,neutral
what,neutral
coordinating,happy
furious,anger
diameter,neutral
approved,happy
abducted,fear
patrols,neutral
afrikaans,neutral
busy,neutral
harcourt,neutral
ruiz,neutral
fraudulent,anger
cheyenne,neutral
peacekeeping,happy
wwf,neutral
smiley,happy
investigating,neutral
renaissance,neutral
palaces,neutral
thwarted,sadness
mitsubishi,neutral
derby,neutral
canned,neutral
astoria,neutral
carnage,fear
insurgency,anger
percy,neutral
neil,neutral
orient,neutral
rifles,neutral
coldly,neutral
casualty,sadness
relevance,neutral
shaping,neutral
droplets,neutral
hacker,neutral
internment,neutral
fog,neutral
nfc,neutral
enhanced,happy
consciousness,neutral
syndicated,neutral
farmhouse,neutral
michael,neutral
impressed,happy
seeing,neutral
anya,neutral
